Company Name,Car Name,Variant,Fuel Type,Tyre Condition,Make Year,Owner Type,Registration Number,Mileage,Price,Transmission Type,Body Color,Service Record,Insurance,Registration Certificate,Accessories
Ford,Swift,GT,Petrol,Needs Replacement,2019,Third,37-762-2269,149824,422983,Automatic (Tiptronic),Blue,Major Service at 60727 km,Valid Until [date],Not Available,
Ford,Accord,GT,Petrol,Used,2020,Third,19-619-2080,130055,845710,Automatic,Maroon,Major Service at 144665 km,Valid Until [date],Not Available,"GPS, Alloy Wheels, Leather Seats"
Kia,F-150,GT,Petrol,Needs Replacement,2018,Third,59-405-1097,168219,315777,Manual,Silver,No Service Record,Valid Until [date],Not Available,
Maruti Suzuki,F-150,SL,Petrol,New,2024,Third,85-240-4421,57401,791104,Manual,White,No Service Record,No Current Insurance,Available,Sunroof
Ford,Swift,SE,Petrol,Needs Replacement,2021,First,80-601-4655,83716,976066,Manual,Maroon,Full Service History,No Current Insurance,Available,Sunroof
Chevrolet,Seltos,LE,Petrol,Used,2016,Second,41-207-4815,87222,214149,Automatic (Tiptronic),Blue,Full Service History,No Current Insurance,Not Available,"Leather Seats, Music System, Sunroof"
Honda,Polo,,Diesel,Needs Replacement,2024,First,16-675-9524,188095,251047,Automatic,Gold,No Service Record,Valid Until [date],Not Available,Sunroof
Hyundai,Swift,SE,Diesel,Used,2020,Second,65-112-3403,188858,203426,Manual,Red,Full Service History,No Current Insurance,Not Available,"Sunroof, Leather Seats, GPS, Music System"
Kia,Kwid,LE,Petrol,New,2024,Second,83-717-6882,146788,967382,Automatic (Tiptronic),Grey,Major Service at 125126 km,No Current Insurance,Available,GPS
Nissan,Elantra,Highline,CNG,New,2020,Second,67-257-2397,17186,677569,Automatic,Blue,Full Service History,Valid Until [date],Available,Sunroof
Ford,Sunny,SL,Diesel,Needs Replacement,2023,Third,68-580-1970,39258,618132,Manual,Blue,No Service Record,No Current Insurance,Available,Leather Seats
Maruti Suzuki,Camry,LE,CNG,Used,2020,First,23-605-4293,146669,607474,Manual,Gold,Full Service History,No Current Insurance,Not Available,Music System
Ford,Elantra,ZXI,Diesel,New,2021,First,31-182-9840,159067,868970,Automatic (Tiptronic),Gold,Major Service at 144438 km,No Current Insurance,Not Available,
Toyota,Seltos,,Petrol,Needs Replacement,2016,Second,77-406-7804,55313,857998,Automatic,White,Major Service at 103582 km,No Current Insurance,Available,"Sunroof, GPS, Leather Seats"
Chevrolet,Swift,LE,Diesel,New,2022,First,73-947-2682,30850,616220,Automatic,Red,No Service Record,No Current Insurance,Available,Leather Seats
Maruti Suzuki,Camry,EX,CNG,Needs Replacement,2018,Second,69-782-6097,40105,724169,Automatic,Silver,Major Service at 90267 km,No Current Insurance,Available,Leather Seats
Renault,Sunny,RXE,CNG,Needs Replacement,2019,First,64-671-5721,25808,688080,Automatic,Gold,Major Service at 143537 km,Valid Until [date],Not Available,Leather Seats
Renault,Seltos,Highline,Diesel,New,2021,Third,62-238-1265,169842,418568,Automatic (Tiptronic),Maroon,Major Service at 138498 km,No Current Insurance,Not Available,"Alloy Wheels, GPS, Leather Seats"
Nissan,Swift,LE,CNG,Used,2019,Second,17-800-8744,30787,589219,Automatic,Maroon,No Service Record,Valid Until [date],Not Available,"GPS, Music System, Alloy Wheels"
Kia,Camry,SE,CNG,Used,2019,Second,42-741-9188,191184,312270,Automatic (Tiptronic),Gold,Major Service at 59800 km,No Current Insurance,Not Available,GPS
Honda,Accord,SL,CNG,Needs Replacement,2023,First,28-446-8780,149809,716671,Automatic,Silver,Full Service History,Valid Until [date],Available,"GPS, Sunroof, Leather Seats"
Maruti Suzuki,F-150,SL,Petrol,New,2021,Second,45-592-1452,85011,274984,Manual,Red,No Service Record,Valid Until [date],Not Available,GPS
Toyota,Accord,XL,Diesel,New,2024,Second,90-888-8513,115972,607912,Manual,Maroon,No Service Record,Valid Until [date],Not Available,"Music System, Leather Seats, GPS"
Nissan,F-150,SE,Diesel,New,2015,Third,32-452-6284,153355,526727,Automatic,White,Major Service at 145351 km,No Current Insurance,Not Available,"Leather Seats, GPS, Music System"
Maruti Suzuki,Elantra,Highline,CNG,Used,2018,Third,50-450-3114,176819,675820,Automatic (Tiptronic),Blue,Major Service at 53758 km,Valid Until [date],Available,"GPS, Alloy Wheels, Leather Seats, Music System"
Hyundai,Elantra,LE,CNG,Needs Replacement,2023,First,15-736-6291,161232,535276,Manual,Grey,No Service Record,Valid Until [date],Available,"Leather Seats, Music System"
Honda,Swift,LE,Diesel,New,2024,Second,48-802-2877,38367,798557,Automatic,Maroon,No Service Record,No Current Insurance,Available,Sunroof
Chevrolet,Cruze,LE,CNG,Needs Replacement,2021,First,69-400-9536,193384,909945,Automatic,Gold,Full Service History,Valid Until [date],Available,"Alloy Wheels, Sunroof, Leather Seats"
Maruti Suzuki,Polo,SE,Petrol,Needs Replacement,2023,Third,22-524-4326,111645,764524,Automatic (Tiptronic),Silver,Major Service at 66123 km,No Current Insurance,Not Available,"GPS, Alloy Wheels"
Ford,Polo,,CNG,Needs Replacement,2016,First,28-616-3227,141072,482047,Automatic (Tiptronic),Black,Major Service at 61612 km,No Current Insurance,Not Available,"Alloy Wheels, Leather Seats, Music System"
Honda,F-150,SL,Petrol,Used,2021,Second,34-695-2718,20763,739843,Automatic,White,Full Service History,No Current Insurance,Available,Sunroof
Hyundai,Camry,,CNG,Used,2019,Third,76-898-8379,135903,729993,Automatic,Silver,Major Service at 134775 km,No Current Insurance,Not Available,"Sunroof, GPS"
Chevrolet,Accord,EX,Petrol,Needs Replacement,2023,First,38-692-4878,174514,845397,Manual,Blue,Full Service History,Valid Until [date],Available,
Maruti Suzuki,Accord,ZXI,CNG,Needs Replacement,2021,First,88-130-7981,144719,623917,Automatic,Grey,No Service Record,No Current Insurance,Available,"Alloy Wheels, Sunroof, Leather Seats"
Volkswagen,Polo,SE,Diesel,New,2024,First,10-424-6062,111966,505243,Manual,White,Full Service History,No Current Insurance,Not Available,Sunroof
Nissan,Sunny,SL,Diesel,Needs Replacement,2022,First,68-112-2099,59373,312812,Manual,Blue,Major Service at 94120 km,Valid Until [date],Available,"Music System, Sunroof"
Renault,Kwid,XL,Petrol,Used,2023,First,19-760-5086,101004,991934,Automatic,Black,No Service Record,No Current Insurance,Not Available,"Leather Seats, Alloy Wheels, Music System, GPS"
Maruti Suzuki,Camry,EX,Petrol,New,2015,First,38-818-5314,69752,789838,Automatic,Gold,Full Service History,No Current Insurance,Available,"GPS, Music System, Sunroof, Leather Seats"
Volkswagen,Elantra,RXE,Diesel,New,2024,Third,25-829-3030,123248,343654,Automatic (Tiptronic),White,Major Service at 142982 km,Valid Until [date],Available,"Leather Seats, Sunroof, GPS, Alloy Wheels"
Kia,F-150,SE,Diesel,New,2016,Third,18-273-3453,166789,673969,Automatic,Silver,Full Service History,Valid Until [date],Not Available,Music System
Nissan,F-150,Highline,CNG,New,2020,Second,72-252-4703,42361,678586,Automatic (Tiptronic),Black,No Service Record,Valid Until [date],Not Available,GPS
Toyota,Swift,GT,Petrol,Used,2022,Third,71-120-1874,182741,437889,Automatic,Blue,Major Service at 115884 km,Valid Until [date],Available,"Leather Seats, Alloy Wheels"
Toyota,Swift,SL,CNG,New,2022,Second,54-680-8253,60990,317935,Automatic,Grey,Full Service History,Valid Until [date],Available,"Leather Seats, GPS, Music System, Sunroof"
Kia,Polo,LE,CNG,Needs Replacement,2022,Third,15-619-6247,82570,920422,Automatic,Blue,No Service Record,Valid Until [date],Not Available,"GPS, Alloy Wheels, Music System"
Chevrolet,F-150,EX,CNG,New,2019,Third,33-198-5114,91097,750640,Automatic,White,Major Service at 139767 km,Valid Until [date],Available,"Alloy Wheels, Sunroof, Leather Seats"
Ford,Seltos,GT,Petrol,Used,2021,Third,23-185-3931,126714,955174,Automatic,Grey,Major Service at 122263 km,No Current Insurance,Not Available,"GPS, Alloy Wheels, Leather Seats, Sunroof"
Toyota,Swift,,Petrol,New,2022,Second,50-585-6836,87623,785075,Automatic (Tiptronic),White,Major Service at 121228 km,Valid Until [date],Available,"Music System, GPS"
Maruti Suzuki,Kwid,,Diesel,Used,2020,Second,57-759-9715,135884,387802,Automatic (Tiptronic),White,Major Service at 126951 km,No Current Insurance,Available,"Music System, Alloy Wheels, Leather Seats"
Honda,Accord,XL,CNG,Used,2020,Second,87-391-8546,157877,393614,Manual,Blue,No Service Record,Valid Until [date],Available,"Leather Seats, Sunroof, Music System, Alloy Wheels"
Renault,Swift,XL,Petrol,Used,2022,Second,36-283-5182,161874,308188,Automatic (Tiptronic),Maroon,Full Service History,Valid Until [date],Not Available,"Alloy Wheels, Music System"
Nissan,F-150,GT,Petrol,Needs Replacement,2021,Third,95-342-5147,16429,867350,Manual,Blue,Major Service at 76890 km,No Current Insurance,Not Available,GPS
Renault,Camry,LE,CNG,Used,2017,Third,79-325-1687,64948,493777,Automatic (Tiptronic),Maroon,Full Service History,Valid Until [date],Available,"GPS, Sunroof, Music System"
Nissan,Cruze,SL,CNG,Used,2023,Third,57-294-1710,158622,694863,Manual,Gold,Major Service at 66387 km,No Current Insurance,Not Available,"Leather Seats, Music System, Alloy Wheels"
Kia,Sunny,SE,CNG,Used,2016,Second,25-489-3993,31457,601212,Manual,White,Major Service at 118077 km,No Current Insurance,Not Available,Alloy Wheels
Kia,F-150,RXE,Petrol,Used,2018,Second,19-478-7164,103701,317844,Automatic,Black,Major Service at 122819 km,No Current Insurance,Available,"GPS, Leather Seats, Alloy Wheels, Sunroof"
Maruti Suzuki,F-150,ZXI,CNG,Needs Replacement,2016,Second,27-440-2257,17374,513500,Automatic (Tiptronic),Gold,Major Service at 57666 km,No Current Insurance,Not Available,"Alloy Wheels, Sunroof"
Chevrolet,Cruze,LE,Diesel,New,2016,First,14-791-8285,69637,378745,Manual,Red,No Service Record,Valid Until [date],Available,"GPS, Music System, Sunroof"
Nissan,Elantra,GT,Diesel,Used,2021,Second,10-218-8179,194805,739049,Automatic,Black,No Service Record,Valid Until [date],Not Available,"Sunroof, GPS, Music System"
Volkswagen,Cruze,LE,Diesel,Used,2016,Second,47-132-1340,109663,402596,Automatic,Grey,No Service Record,No Current Insurance,Available,"Music System, GPS"
Kia,Cruze,,CNG,Needs Replacement,2016,First,31-606-6107,166855,773232,Automatic (Tiptronic),White,Full Service History,Valid Until [date],Not Available,"Music System, Leather Seats, Sunroof, Alloy Wheels"
Nissan,F-150,SL,Petrol,Used,2021,First,69-844-9628,159372,527020,Automatic,Maroon,Major Service at 121315 km,Valid Until [date],Not Available,Sunroof
Chevrolet,Seltos,GT,CNG,New,2022,Second,30-370-7975,182940,235956,Manual,Silver,No Service Record,Valid Until [date],Not Available,"GPS, Alloy Wheels, Sunroof, Music System"
Ford,Camry,SE,Diesel,New,2017,First,91-894-6650,188018,910579,Manual,Gold,No Service Record,No Current Insurance,Available,Music System
Maruti Suzuki,Polo,EX,Diesel,New,2018,First,84-179-6636,161532,735404,Automatic,Silver,Major Service at 146053 km,Valid Until [date],Not Available,"Music System, Leather Seats, Sunroof"
Honda,F-150,GT,CNG,Needs Replacement,2020,Second,24-629-8173,108730,802654,Manual,Grey,Full Service History,Valid Until [date],Available,"Music System, Leather Seats"
Chevrolet,Sunny,EX,Diesel,Needs Replacement,2016,First,46-999-2996,39619,355182,Automatic,Maroon,No Service Record,No Current Insurance,Available,
Honda,F-150,SE,Petrol,Used,2020,Third,15-161-2085,116538,957801,Manual,Maroon,No Service Record,No Current Insurance,Available,"Sunroof, GPS"
Volkswagen,Sunny,SE,CNG,Used,2024,Second,64-889-8472,63505,572235,Manual,Gold,No Service Record,Valid Until [date],Not Available,"GPS, Sunroof, Music System"
Hyundai,Polo,GT,Diesel,Needs Replacement,2021,Second,71-527-1974,156669,448059,Manual,Black,No Service Record,Valid Until [date],Available,"Leather Seats, Sunroof, GPS, Alloy Wheels"
Nissan,Polo,ZXI,Petrol,Needs Replacement,2023,Third,45-119-3159,92499,926225,Manual,Blue,Major Service at 109542 km,Valid Until [date],Available,Leather Seats
Honda,Kwid,EX,Diesel,New,2018,First,25-406-2666,41306,604497,Automatic (Tiptronic),Blue,No Service Record,No Current Insurance,Available,"Music System, Leather Seats, GPS"
Ford,F-150,LE,Diesel,New,2024,Third,88-613-2530,102543,319952,Automatic,Silver,No Service Record,No Current Insurance,Available,"Sunroof, GPS, Music System"
Ford,Camry,,Petrol,Used,2015,Third,14-296-4004,28429,536344,Automatic (Tiptronic),Silver,No Service Record,Valid Until [date],Available,"Music System, GPS"
Chevrolet,Accord,LE,CNG,Needs Replacement,2017,Second,65-648-1745,135226,254807,Automatic,White,Full Service History,No Current Insurance,Available,"Alloy Wheels, GPS"
Chevrolet,Polo,SE,CNG,New,2022,Third,64-781-8345,76004,505109,Manual,Grey,Major Service at 112009 km,Valid Until [date],Not Available,"Sunroof, Music System, Alloy Wheels, Leather Seats"
Ford,Polo,LE,Petrol,New,2018,First,26-682-1169,170296,704300,Automatic (Tiptronic),White,Full Service History,No Current Insurance,Not Available,"Leather Seats, Music System, Sunroof"
Honda,Sunny,LE,Petrol,Used,2019,Third,31-838-4608,133739,472814,Automatic (Tiptronic),Red,Major Service at 60291 km,Valid Until [date],Not Available,
Hyundai,Swift,RXE,Petrol,Needs Replacement,2016,Third,91-665-5701,158156,668747,Automatic (Tiptronic),White,Full Service History,Valid Until [date],Available,"Alloy Wheels, Music System, Sunroof, Leather Seats"
Volkswagen,Seltos,RXE,CNG,New,2024,Third,82-868-9149,95277,894621,Manual,Maroon,Full Service History,No Current Insurance,Available,
Volkswagen,Accord,,CNG,New,2023,Second,50-564-8038,66504,608247,Manual,Silver,No Service Record,Valid Until [date],Not Available,GPS
Honda,Kwid,XL,CNG,Used,2024,First,19-269-8738,72946,551678,Automatic,Silver,No Service Record,No Current Insurance,Available,Leather Seats
Kia,Seltos,GT,Petrol,Used,2015,Third,71-693-8273,110759,336705,Automatic,Red,No Service Record,Valid Until [date],Not Available,GPS
Chevrolet,F-150,RXE,CNG,Used,2020,Third,30-186-9213,32076,887211,Automatic,Silver,No Service Record,No Current Insurance,Available,"GPS, Alloy Wheels, Leather Seats, Music System"
Chevrolet,F-150,SE,Petrol,Needs Replacement,2020,Third,11-486-1556,134049,527673,Automatic (Tiptronic),Black,Major Service at 85057 km,Valid Until [date],Not Available,Sunroof
Maruti Suzuki,Seltos,LE,Petrol,Used,2019,First,19-838-1323,144798,984750,Automatic,Silver,Major Service at 87725 km,Valid Until [date],Available,"GPS, Leather Seats, Alloy Wheels, Music System"
Hyundai,Seltos,XL,Petrol,New,2016,Second,52-984-1867,92076,605206,Automatic,Gold,Full Service History,No Current Insurance,Available,
Toyota,Sunny,XL,Petrol,Used,2022,Third,67-662-6587,74897,876683,Automatic (Tiptronic),Grey,No Service Record,No Current Insurance,Not Available,"Leather Seats, Alloy Wheels"
Nissan,Cruze,ZXI,Diesel,Used,2016,Third,46-870-4540,28556,635745,Automatic (Tiptronic),Maroon,Full Service History,Valid Until [date],Not Available,Sunroof
Volkswagen,Cruze,Highline,Diesel,Used,2023,Second,19-665-6731,57290,931155,Manual,White,Major Service at 98185 km,Valid Until [date],Available,Leather Seats
Toyota,Seltos,,CNG,Needs Replacement,2016,Third,56-680-1261,74361,886177,Automatic (Tiptronic),White,Full Service History,No Current Insurance,Available,"Leather Seats, GPS, Sunroof"
Ford,Accord,SE,Diesel,Used,2018,Third,42-938-8684,198482,292650,Automatic,Gold,No Service Record,No Current Insurance,Available,Leather Seats
Honda,Polo,RXE,Diesel,Needs Replacement,2018,Second,91-710-9353,193543,598489,Manual,Red,No Service Record,No Current Insurance,Available,"Alloy Wheels, Sunroof, Leather Seats, GPS"
Maruti Suzuki,Elantra,LE,CNG,Used,2016,Second,39-713-7508,84944,678172,Automatic (Tiptronic),Red,Full Service History,No Current Insurance,Available,"Alloy Wheels, Leather Seats"
Ford,Accord,SL,CNG,New,2018,Second,50-108-5602,50831,950252,Automatic,White,Full Service History,No Current Insurance,Available,"Leather Seats, Alloy Wheels"
Toyota,Elantra,ZXI,CNG,Used,2016,Second,93-433-5839,73147,251137,Automatic (Tiptronic),Gold,Major Service at 65977 km,No Current Insurance,Available,"GPS, Leather Seats, Sunroof"
Renault,Camry,SL,CNG,Used,2015,First,33-247-8828,104203,397065,Manual,Silver,No Service Record,No Current Insurance,Available,"Leather Seats, Sunroof, GPS"
Chevrolet,Seltos,SE,CNG,Used,2022,Second,17-718-3101,91424,918410,Automatic (Tiptronic),Silver,Major Service at 89079 km,Valid Until [date],Not Available,Alloy Wheels
Ford,Cruze,GT,Petrol,New,2015,First,97-734-9741,67100,747596,Manual,Blue,Major Service at 59006 km,Valid Until [date],Not Available,Leather Seats
Honda,Cruze,,Diesel,Used,2020,First,96-701-1994,160633,626963,Automatic (Tiptronic),Black,Full Service History,Valid Until [date],Not Available,"GPS, Alloy Wheels, Leather Seats, Sunroof"
Kia,Polo,SL,Petrol,Used,2015,Third,53-131-3786,25898,791706,Automatic,White,No Service Record,No Current Insurance,Available,
Maruti Suzuki,Sunny,GT,Diesel,Needs Replacement,2023,Third,49-354-5885,112293,336416,Automatic (Tiptronic),Maroon,No Service Record,Valid Until [date],Available,"Music System, Sunroof"
Toyota,Swift,RXE,CNG,Needs Replacement,2021,First,94-212-2780,158751,294882,Manual,Blue,No Service Record,No Current Insurance,Available,
Chevrolet,F-150,Highline,Diesel,Used,2024,Second,55-267-1976,64857,772191,Manual,Maroon,No Service Record,No Current Insurance,Available,
Toyota,Sunny,LE,Petrol,Used,2016,Second,50-146-1440,113831,822674,Automatic (Tiptronic),Maroon,Major Service at 132392 km,No Current Insurance,Not Available,"Alloy Wheels, Sunroof"
Maruti Suzuki,Polo,LE,CNG,New,2022,First,44-314-2817,175989,231097,Automatic (Tiptronic),Blue,Major Service at 143889 km,No Current Insurance,Available,GPS
Ford,Sunny,,Diesel,Used,2020,Second,62-152-7992,39683,337944,Automatic (Tiptronic),White,No Service Record,Valid Until [date],Available,"GPS, Music System, Leather Seats, Sunroof"
Maruti Suzuki,Seltos,SE,Petrol,Needs Replacement,2016,Second,41-431-4770,41732,364731,Automatic (Tiptronic),Silver,Major Service at 96918 km,Valid Until [date],Not Available,"Music System, GPS, Leather Seats, Alloy Wheels"
Toyota,F-150,Highline,Diesel,New,2019,Third,52-539-3769,135885,202878,Automatic,White,Full Service History,Valid Until [date],Not Available,Sunroof
Renault,Polo,GT,Diesel,Needs Replacement,2020,First,16-586-1496,79323,402917,Automatic (Tiptronic),Blue,Full Service History,Valid Until [date],Available,"Alloy Wheels, GPS, Sunroof"
Chevrolet,Polo,,CNG,New,2019,Second,87-113-4476,126515,846500,Automatic,Gold,Full Service History,No Current Insurance,Not Available,Alloy Wheels
Chevrolet,Seltos,,CNG,New,2017,First,94-697-6014,66604,358462,Automatic,White,No Service Record,No Current Insurance,Available,"GPS, Alloy Wheels, Sunroof, Music System"
Ford,Accord,ZXI,Petrol,Used,2023,First,82-940-4994,137723,974522,Automatic (Tiptronic),Maroon,Major Service at 90441 km,No Current Insurance,Not Available,"Leather Seats, GPS, Sunroof, Music System"
Hyundai,Camry,SE,Diesel,New,2018,Second,14-295-6003,181491,201941,Automatic (Tiptronic),Silver,Full Service History,Valid Until [date],Not Available,
Renault,Cruze,SE,Diesel,Used,2022,Third,39-344-6946,129737,302783,Manual,Red,No Service Record,No Current Insurance,Not Available,
Renault,Camry,XL,Diesel,New,2023,Third,97-959-5370,41147,859931,Automatic,White,Full Service History,Valid Until [date],Available,GPS
Nissan,Seltos,GT,Diesel,Needs Replacement,2015,First,40-426-2285,100146,734110,Automatic,Blue,Full Service History,Valid Until [date],Available,Music System
Chevrolet,Seltos,RXE,Diesel,New,2016,Third,29-958-6806,18641,425184,Automatic,Silver,No Service Record,No Current Insurance,Available,
Maruti Suzuki,Camry,RXE,Petrol,Needs Replacement,2023,Third,73-493-5257,174608,862715,Automatic (Tiptronic),Grey,Major Service at 142858 km,No Current Insurance,Not Available,"Sunroof, Leather Seats"
Ford,Camry,LE,Petrol,Used,2022,Third,84-209-7523,53116,214542,Manual,Red,Major Service at 53130 km,Valid Until [date],Not Available,
Volkswagen,Swift,RXE,Petrol,Needs Replacement,2024,First,21-527-1079,180869,309997,Manual,Gold,Major Service at 57034 km,Valid Until [date],Not Available,"Leather Seats, GPS, Alloy Wheels, Sunroof"
Renault,Elantra,SE,Petrol,New,2023,First,83-350-5280,85794,271311,Automatic (Tiptronic),White,No Service Record,Valid Until [date],Available,
Volkswagen,Kwid,Highline,CNG,New,2020,Second,22-682-6553,11043,404551,Manual,Silver,No Service Record,Valid Until [date],Not Available,Sunroof
Volkswagen,Sunny,XL,Diesel,Needs Replacement,2016,Second,97-670-7941,114886,869170,Automatic,White,Major Service at 66233 km,No Current Insurance,Available,"Music System, GPS"
Toyota,Elantra,Highline,Diesel,Needs Replacement,2021,Third,58-368-6030,85057,643463,Manual,Gold,Major Service at 61168 km,Valid Until [date],Not Available,
Volkswagen,Sunny,GT,Diesel,Needs Replacement,2024,First,82-378-2174,177303,280375,Automatic,Grey,No Service Record,No Current Insurance,Not Available,"GPS, Alloy Wheels"
Toyota,Elantra,Highline,Diesel,New,2015,Second,64-414-1801,179505,438201,Automatic,Blue,No Service Record,No Current Insurance,Available,"Leather Seats, Sunroof, Alloy Wheels"
Nissan,Kwid,,Petrol,New,2017,First,24-341-9559,48243,282607,Automatic (Tiptronic),Blue,No Service Record,No Current Insurance,Not Available,Music System
Nissan,Polo,RXE,Petrol,Needs Replacement,2023,First,11-317-8917,57572,570215,Automatic (Tiptronic),Black,Major Service at 75717 km,No Current Insurance,Not Available,"Alloy Wheels, Leather Seats"
Honda,Elantra,XL,CNG,Needs Replacement,2023,First,86-513-7833,188760,594335,Automatic,Silver,No Service Record,No Current Insurance,Not Available,Leather Seats
Kia,Elantra,SL,CNG,Needs Replacement,2020,First,76-658-6427,88315,901171,Automatic,White,No Service Record,Valid Until [date],Available,"GPS, Sunroof"
Maruti Suzuki,Sunny,SE,Diesel,Used,2020,First,38-963-9320,109210,473281,Manual,Silver,Full Service History,Valid Until [date],Not Available,"Music System, Leather Seats, GPS"
Ford,F-150,Highline,CNG,New,2023,First,49-771-8299,147195,512443,Manual,Silver,No Service Record,No Current Insurance,Available,"Alloy Wheels, Leather Seats"
Kia,Elantra,,Diesel,Needs Replacement,2018,Third,79-566-2081,62047,842195,Automatic,Gold,No Service Record,Valid Until [date],Not Available,
Maruti Suzuki,Elantra,EX,CNG,New,2018,Third,40-214-4689,74738,246923,Automatic (Tiptronic),Blue,Major Service at 115042 km,No Current Insurance,Not Available,"GPS, Alloy Wheels"
Kia,Sunny,LE,Diesel,Needs Replacement,2016,Third,59-470-9209,160002,746162,Manual,Maroon,Major Service at 103995 km,Valid Until [date],Not Available,"Alloy Wheels, Leather Seats, GPS"
Maruti Suzuki,Cruze,LE,Diesel,New,2022,Second,18-896-5318,176427,642760,Manual,Silver,Major Service at 89612 km,No Current Insurance,Not Available,
Renault,Seltos,LE,Petrol,Needs Replacement,2020,Third,75-858-7949,166984,533210,Automatic (Tiptronic),Grey,Major Service at 114012 km,No Current Insurance,Available,"Sunroof, Music System"
Ford,Sunny,,Petrol,Used,2016,Second,67-864-4912,11789,857961,Automatic,Grey,Full Service History,No Current Insurance,Available,GPS
Honda,Elantra,GT,CNG,Used,2015,Second,95-148-1077,39771,551396,Manual,Maroon,Major Service at 98882 km,Valid Until [date],Available,"Music System, Sunroof"
Hyundai,Elantra,EX,Petrol,New,2020,Second,25-840-3533,114447,786939,Automatic,Blue,Full Service History,No Current Insurance,Available,"GPS, Sunroof, Music System"
Ford,F-150,RXE,Petrol,New,2023,Third,62-989-6003,166363,596849,Manual,Blue,Full Service History,No Current Insurance,Not Available,"Sunroof, Leather Seats, GPS, Music System"
Chevrolet,Cruze,GT,Petrol,New,2021,Third,59-322-2340,139571,477380,Automatic,Maroon,Major Service at 142729 km,Valid Until [date],Available,"Leather Seats, Sunroof, Alloy Wheels"
Toyota,Camry,XL,CNG,New,2023,Third,96-842-2618,64679,876542,Automatic (Tiptronic),White,No Service Record,No Current Insurance,Available,"Alloy Wheels, Sunroof, Music System"
Kia,Camry,GT,Petrol,Used,2024,First,86-759-2807,146740,570800,Automatic,Gold,Full Service History,Valid Until [date],Available,"Sunroof, GPS, Alloy Wheels"
Honda,Polo,XL,Diesel,Used,2023,First,89-131-4407,198307,251887,Automatic,Silver,No Service Record,Valid Until [date],Available,
Nissan,Polo,,Petrol,Needs Replacement,2023,Second,71-858-4945,197686,218039,Manual,Gold,Full Service History,Valid Until [date],Not Available,
Nissan,Seltos,LE,Petrol,New,2018,Second,68-616-9067,196479,470461,Automatic,Blue,Major Service at 94491 km,Valid Until [date],Available,"Alloy Wheels, Sunroof, GPS"
Honda,Sunny,RXE,Petrol,Used,2019,Second,18-939-2150,163442,505072,Automatic,Grey,Full Service History,Valid Until [date],Available,Alloy Wheels
Honda,Swift,ZXI,Petrol,New,2017,First,81-198-7278,58903,810086,Manual,Black,No Service Record,Valid Until [date],Available,"GPS, Leather Seats"
Nissan,Accord,RXE,Diesel,New,2016,Third,52-144-3784,90539,932060,Automatic (Tiptronic),White,Major Service at 55833 km,No Current Insurance,Not Available,Music System
Volkswagen,Seltos,,CNG,Used,2016,First,78-284-3368,128149,705722,Automatic (Tiptronic),Maroon,No Service Record,No Current Insurance,Not Available,"Music System, Leather Seats, GPS, Sunroof"
Toyota,Seltos,LE,Petrol,Used,2017,Third,58-790-7104,60033,886666,Manual,White,No Service Record,No Current Insurance,Available,"GPS, Sunroof, Alloy Wheels"
Ford,Kwid,SE,Petrol,New,2017,Third,98-979-1292,13991,344577,Manual,Black,No Service Record,No Current Insurance,Not Available,
Hyundai,Sunny,GT,Petrol,Used,2021,First,44-997-6733,144804,440710,Automatic,Black,No Service Record,No Current Insurance,Available,
Ford,Accord,SE,Petrol,Used,2019,Third,55-310-4730,179275,889128,Manual,Red,Major Service at 53925 km,No Current Insurance,Available,"Alloy Wheels, Sunroof"
Maruti Suzuki,Polo,SL,Petrol,New,2023,First,16-114-3296,139257,200176,Automatic,White,No Service Record,Valid Until [date],Available,"Sunroof, GPS, Leather Seats, Music System"
Toyota,Camry,Highline,Petrol,Needs Replacement,2021,Second,74-687-1331,118746,931328,Automatic (Tiptronic),Maroon,Full Service History,No Current Insurance,Available,Music System
Honda,Polo,Highline,Petrol,New,2024,First,45-922-2079,80611,708982,Automatic (Tiptronic),Silver,Major Service at 135414 km,No Current Insurance,Not Available,"Sunroof, GPS, Alloy Wheels"
Nissan,Kwid,LE,Petrol,New,2020,Third,83-207-4945,59351,426638,Automatic,White,Major Service at 53875 km,No Current Insurance,Available,"Sunroof, GPS, Leather Seats"
Toyota,Kwid,,Petrol,New,2018,Third,30-208-8655,55067,947820,Automatic,White,Full Service History,Valid Until [date],Not Available,"Leather Seats, Sunroof, GPS"
Honda,Elantra,SL,CNG,Used,2016,Third,74-677-4559,145039,371886,Automatic (Tiptronic),White,Major Service at 131005 km,No Current Insurance,Not Available,Sunroof
Chevrolet,Kwid,RXE,Diesel,Used,2018,First,32-588-6045,180596,405785,Automatic (Tiptronic),Grey,Major Service at 121758 km,Valid Until [date],Available,"Leather Seats, Music System"
Maruti Suzuki,Seltos,RXE,CNG,New,2019,Second,82-735-3488,153073,716602,Automatic,Black,No Service Record,No Current Insurance,Available,"GPS, Leather Seats, Music System"
Hyundai,Camry,ZXI,CNG,New,2023,First,76-772-3067,151994,363289,Automatic (Tiptronic),Silver,Full Service History,No Current Insurance,Available,"GPS, Music System"
Toyota,Sunny,GT,CNG,Used,2015,Second,99-352-1469,140797,294216,Automatic,Gold,Full Service History,Valid Until [date],Available,"GPS, Alloy Wheels, Sunroof"
